Per Capita GDP at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Singapore,925,"1,075","1,371","1,929","2,360","2,559","2,649","2,892","3,439","4,092","5,003","5,831","6,298","6,969","7,386","6,850","6,781","7,654","9,206","10,665","12,896","14,668","16,335","18,426","21,768","25,237","27,002","27,418","22,944","22,572","24,459","22,192","22,229","22,800","26,098","28,343","32,027","38,029","39,638","38,752","46,549","53,023","54,585","55,557","55,635","52,239"
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,764","23,322","24,890","26,355","26,328","27,064","27,548","28,060","28,070","28,085","28,242"
Slovakia,,,,,,,,,,,,,,,,,,,,,"3,179","2,218","2,402","2,578","2,974","3,722","4,016","4,068","4,236","3,861","3,840","3,969","4,601","6,300","7,997","9,093","10,595","14,267","17,899","16,464","16,553","18,143","17,249","18,172","18,581","16,082"
Slovenia,,,,,,,,,,,,,,,,,,,,,"9,029","6,578","6,508","6,602","7,513","10,683","10,798","10,437","11,128","11,410","10,230","10,499","11,853","14,937","17,314","18,204","19,738","23,848","27,377","24,595","23,393","24,910","22,424","23,096","23,973","20,690"
Solomon Islands,200,208,219,282,391,335,359,392,456,584,622,678,662,484,663,591,520,510,597,553,667,687,790,833,916,"1,015","1,091","1,075",918,947,820,790,630,704,794,915,980,"1,195","1,266","1,240","1,368","1,619","1,777","1,885","1,924","1,842"
Somalia,99,100,128,137,157,195,205,94,95,90,94,107,116,108,117,133,133,149,151,155,157,97,93,159,179,177,194,222,279,266,278,171,156,189,241,273,275,279,285,215,112,109,130,136,149,145
South Africa,829,891,911,"1,215","1,487","1,498","1,402","1,520","1,706","2,055","2,886","2,892","2,585","2,809","2,425","1,808","2,019","2,593","2,729","2,780","3,172","3,323","3,518","3,429","3,488","3,800","3,548","3,612","3,210","3,137","3,083","2,708","2,501","3,731","4,796","5,331","5,540","6,025","5,696","5,804","7,271","7,972","7,501","6,882","6,509","5,773"
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,690","1,276","1,563","1,696",946,"1,196","1,348","1,067"
Spain,"1,205","1,355","1,700","2,234","2,732","3,187","3,256","3,600","4,322","5,722","6,156","5,326","5,115","4,438","4,448","4,655","6,451","8,161","9,611","10,577","13,653","14,651","15,970","13,252","13,348","15,414","16,075","14,719","15,368","15,676","14,611","15,182","16,864","21,349","24,778","26,388","28,391","32,720","35,687","32,379","30,720","31,858","28,646","29,314","29,742","25,865"
Sri Lanka,225,226,248,264,323,328,306,340,229,275,325,340,358,381,430,425,444,456,482,476,542,603,642,682,766,838,899,967,"1,000",988,"1,019",971,"1,027","1,124","1,221","1,430","1,645","1,869","2,336","2,398","2,808","3,214","3,351","3,621","3,881","3,974"
St. Vincent and the Grenadines,234,251,342,370,399,398,383,435,545,627,696,847,974,"1,083","1,170","1,277","1,430","1,587","1,821","1,963","2,179","2,327","2,554","2,609","2,661","2,887","3,047","3,215","3,477","3,616","3,673","3,982","4,271","4,447","4,808","5,064","5,610","6,220","6,370","6,177","6,232","6,184","6,338","6,597","6,656","6,739"
State of Palestine,158,178,250,300,452,438,500,501,508,576,711,639,659,663,632,571,887,946,965,883,921,953,"1,125","1,159","1,137","1,254","1,243","1,309","1,356","1,369","1,338","1,210","1,052","1,152","1,234","1,350","1,341","1,466","1,731","1,835","2,191","2,503","2,624","2,824","2,800","2,716"
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,404","1,368","1,494","1,883","1,641","1,659","1,762","1,977"
Sudan (Former),89,94,113,140,166,200,242,275,286,305,333,388,284,247,323,294,387,489,473,452,490,426,442,442,407,426,270,320,332,317,377,439,493,564,684,878,"1,097","1,400",,,,,,,,
Suriname,960,"1,044","1,142","1,263","1,539","1,758","1,918","2,434","2,788","2,961","3,002","3,353","3,445","3,315","3,221","3,221","3,238","3,497","4,059","1,889","1,844","1,921","1,938","1,819","1,889","1,894","2,322","2,445","2,884","2,349","2,406","2,109","2,754","3,195","3,690","4,457","5,296","5,862","6,973","7,562","8,431","8,448","9,422","9,646","9,737","8,985"
Swaziland,347,419,447,563,676,766,760,819,889,"1,022","1,336","1,435","1,294","1,335","1,057",764,925,"1,171","1,309","1,300","1,454","1,500","1,624","1,611","1,685","1,974","1,822","1,914","1,725","1,651","1,603","1,418","1,300","1,995","2,523","2,813","2,844","2,963","2,809","3,047","3,794","4,091","3,953","3,687","3,540","3,212"
Sweden,"4,666","5,066","5,943","7,189","7,967","9,974","10,720","11,295","12,447","14,665","16,856","15,368","13,548","12,435","12,919","13,473","17,711","21,445","24,130","25,261","30,161","31,377","32,302","24,029","25,724","29,915","32,556","29,854","30,109","30,557","29,282","26,991","29,615","37,025","42,495","43,083","46,222","53,294","55,706","46,183","52,053","59,511","56,990","60,134","59,137","50,687"
Switzerland,"3,925","4,677","5,692","7,604","8,723","9,976","10,436","11,171","15,671","17,658","18,832","17,214","17,572","17,412","16,524","16,651","23,731","29,548","31,770","30,457","38,572","38,644","39,789","38,269","41,943","48,705","46,690","40,422","41,467","40,619","37,911","38,693","41,580","48,285","53,578","55,009","57,375","63,150","72,131","69,728","74,223","87,850","82,897","84,353","85,577","80,831"
Syrian Arab Republic,275,313,349,361,559,702,817,864,"1,002","1,165","1,468","1,818","1,835","1,887","1,873",942,884,895,"1,018",851,897,971,"1,095","1,147",890,945,"1,028","1,068","1,122","1,115","1,202","1,258","1,281","1,205","1,389","1,566","1,768","2,073","2,615","2,631","2,918","2,691","2,005","1,640","1,816","1,535"
Tajikistan,,,,,,,,,,,,,,,,,,,,,537,504,359,302,239,211,176,154,217,176,139,172,191,238,311,340,407,524,711,672,744,841,962,"1,049","1,113",926
TFYR of Macedonia,,,,,,,,,,,,,,,,,,,,,"1,459","1,466","1,386","1,508","1,820","2,409","2,370","1,987","1,898","1,932","1,875","1,835","1,981","2,432","2,788","3,064","3,351","4,064","4,822","4,566","4,561","5,080","4,710","5,220","5,474","4,836"
Thailand,200,202,218,281,346,366,407,463,550,614,706,746,768,825,846,773,841,968,"1,161","1,339","1,561","1,766","1,997","2,209","2,494","2,852","3,052","2,476","1,853","2,040","2,012","1,893","2,094","2,349","2,643","2,874","3,351","3,963","4,385","4,231","5,112","5,539","5,915","6,225","5,970","5,815"
Timor-Leste,,,,,,,,,,,,,,,,,,,,,282,315,386,431,475,527,613,574,661,460,534,548,543,545,"1,149","1,869","2,799","2,847","4,358","3,261","4,043","5,543","6,178","4,995","3,607","2,425"
Togo,125,136,155,176,230,248,231,273,330,385,416,338,282,244,222,228,312,360,423,403,472,455,465,346,262,338,360,357,329,321,265,266,286,317,357,378,387,430,523,509,496,562,578,603,643,559
Tonga,203,226,269,395,525,481,441,495,596,633,848,876,910,915,912,779,930,"1,115","1,533","1,597","1,703","2,049","2,019","1,991","2,032","2,120","2,291","2,206","1,953","2,006","1,933","1,695","1,833","2,082","2,374","2,593","2,873","2,985","3,326","3,154","3,597","4,294","4,445","4,178","4,122","3,784"
Trinidad and Tobago,869,938,"1,119","1,332","2,048","2,415","2,438","3,019","3,380","4,305","5,746","6,342","7,264","6,818","6,712","6,299","4,049","4,014","3,732","3,562","4,148","4,316","4,396","3,678","3,957","4,246","4,577","4,551","4,787","5,384","6,431","6,936","7,050","8,805","10,291","12,323","14,096","16,530","21,188","14,509","16,684","19,054","19,152","19,614","20,131","19,063"
Tunisia,312,358,465,555,704,841,856,948,"1,082","1,272","1,507","1,414","1,326","1,283","1,237","1,261","1,318","1,384","1,408","1,378","1,642","1,697","1,978","1,826","1,916","2,172","2,323","2,211","2,295","2,389","2,214","2,255","2,346","2,762","3,113","3,194","3,371","3,778","4,310","4,130","4,140","4,258","4,140","4,203","4,277","3,661"
Turkey,703,648,794,974,"1,311","1,601","1,790","1,995","2,154","2,874","2,106","2,125","1,886","1,761","1,675","1,838","2,028","2,290","2,343","2,714","3,751","3,698","3,832","4,277","3,049","3,889","4,103","4,226","4,389","4,009","4,215","3,054","3,570","4,587","5,855","7,117","7,728","9,309","10,382","8,624","10,111","10,539","10,539","10,801","10,299","9,126"
Turkmenistan,,,,,,,,,,,,,,,,,,,,,839,804,679,686,565,523,558,618,651,867,"1,096","1,484","1,891","2,424","2,588","2,987","3,378","3,807","4,398","4,060","4,479","5,725","6,798","7,480","8,194","6,997"
Turks and Caicos Islands,"1,736","1,915","2,094","2,279","2,481","2,709","2,972","3,268","3,592","3,933","4,276","4,614","4,951","5,304","5,697","6,144","6,659","7,236","7,886","8,547","9,170","9,757","10,285","11,086","11,780","12,424","13,404","14,238","15,494","16,489","16,923","17,772","16,868","17,502","19,405","21,877","26,116","27,009","29,262","23,248","22,159","22,971","22,070","22,245","23,615","25,122"
Tuvalu,354,372,406,502,527,501,490,454,489,502,534,579,457,475,509,407,500,602,847,917,"1,059","1,120","1,176","1,047","1,244","1,275","1,349","1,441","1,391","1,470","1,302","1,356","1,536","1,912","2,241","2,259","2,353","2,768","3,095","2,763","3,238","3,994","4,044","3,880","3,796","3,362"
U.R. of Tanzania: Mainland,179,185,204,236,275,306,321,372,432,443,500,559,573,560,499,534,366,249,281,291,277,303,261,230,230,260,313,358,384,384,394,391,396,416,444,476,468,533,657,665,701,733,820,908,955,877
Uganda,151,162,171,195,230,258,264,276,275,253,259,285,317,340,325,324,357,386,426,363,248,195,202,203,309,350,344,360,335,309,285,287,292,299,346,398,422,502,587,594,597,638,701,715,750,648
Ukraine,,,,,,,,,,,,,,,,,,,,,"1,823","1,720","1,586","1,395","1,102",991,914,"1,037",874,665,664,814,918,"1,095","1,426","1,907","2,406","3,216","4,087","2,652","3,093","3,723","4,029","4,218","2,967","2,022"
United Arab Emirates,"4,475","5,246","6,706","11,004","25,705","27,709","30,887","34,408","28,736","33,674","42,879","45,131","40,245","35,136","32,655","30,067","23,728","23,953","22,477","24,219","27,989","26,946","26,864","26,141","26,496","27,974","29,813","30,377","27,681","29,279","34,208","32,106","32,355","34,295","37,180","40,299","42,952","42,914","45,720","32,905","34,358","39,901","41,712","42,987","44,239","40,439"
United Kingdom,"2,350","2,655","3,039","3,436","3,673","4,303","4,138","4,679","5,974","7,809","10,049","9,616","9,156","8,699","8,191","8,672","10,642","13,153","16,025","16,275","19,142","19,956","20,546","18,436","19,752","22,802","23,986","26,380","27,773","28,168","27,781","27,304","29,637","34,066","39,921","41,656","44,161","50,091","46,615","38,043","38,741","41,302","41,621","42,522","46,615","44,162"
United States,"5,136","5,525","6,014","6,641","7,137","7,713","8,496","9,350","10,463","11,574","12,468","13,854","14,298","15,405","16,949","18,059","18,887","19,844","21,191","22,600","23,649","24,177","25,355","26,403","27,758","28,782","30,058","31,547","32,890","34,535","36,355","37,166","38,054","39,555","41,818","44,215","46,362","47,994","48,341","46,931","48,291","49,675","51,319","52,632","54,447","56,054"
Uruguay,903,"1,082",868,"1,109","1,535","1,351","1,410","1,571","1,870","2,658","3,650","4,048","3,293","1,895","1,789","1,735","2,142","2,668","2,736","2,785","2,971","3,543","4,508","5,213","6,028","6,609","6,976","7,328","7,711","7,247","6,872","6,281","4,089","3,622","4,117","5,221","5,878","7,010","9,062","9,415","11,939","14,167","15,092","16,881","16,738","15,574"
USSR (Former),"1,789","1,863","2,090","2,479","2,452","2,704","2,691","2,861","3,228","3,435","3,551","3,396","3,563","3,653","3,420","3,302","3,042","2,831","2,743","2,711","2,719",,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,719,723,643,630,599,594,604,661,629,706,561,376,394,401,472,555,662,841,"1,100","1,238","1,425","1,639","1,823","1,969","2,139","2,308"
Vanuatu,445,467,601,710,686,804,753,765,906,"1,159","1,073",911,884,922,"1,097","1,020",968,"1,005","1,156","1,106","1,169","1,355","1,372","1,372","1,464","1,621","1,649","1,630","1,459","1,461","1,432","1,347","1,362","1,580","1,788","1,886","2,047","2,393","2,698","2,643","2,966","3,275","3,158","3,167","3,148","2,783"
Venezuela (Bolivarian Republic of),"1,194","1,272","1,362","1,577","2,350","2,404","2,675","2,998","3,166","3,784","4,507","4,922","4,895","4,755","3,396","3,425","3,259","2,521","3,082","2,137","2,368","2,544","2,811","2,732","2,631","3,375","3,014","3,715","3,876","4,078","4,785","4,928","3,657","3,230","4,273","5,436","6,740","8,325","11,225","11,535","13,581","10,755","12,772","12,265","11,835","11,069"
Viet Nam,64,68,71,72,76,80,91,106,126,134,44,34,38,56,85,79,81,83,89,94,95,110,139,182,220,276,323,347,347,361,388,403,428,478,593,684,781,903,"1,145","1,212","1,312","1,517","1,725","1,874","2,015","2,068"
Yemen,,,,,,,,,,,,,,,,,,,,285,337,333,339,343,341,389,460,477,431,502,611,614,650,700,784,929,"1,081","1,181","1,362","1,240","1,310","1,282","1,289","1,360","1,299","1,106"
Yemen Arab Republic (Former),85,99,141,126,150,178,190,212,226,240,260,275,300,301,298,304,307,311,315,321,385,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen Democratic (Former),106,95,105,84,88,87,111,133,157,164,195,217,251,256,264,249,210,209,213,233,268,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia (Former),721,776,803,"1,037","1,422","1,579","1,768","2,131","2,513","3,128","3,181","3,108","2,810","2,857","3,038","3,204","3,445","3,646","3,757","4,024","3,754",,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,369,363,413,506,602,533,545,518,560,668,728,654,673,608,470,395,291,282,451,499,466,404,386,372,405,411,379,441,353,330,340,377,376,429,531,692,"1,030","1,103","1,366","1,135","1,456","1,636","1,725","1,840","1,726","1,311"
Zanzibar,,,,,,,,,,,,,,,,,,,,,201,220,214,202,199,235,295,438,325,314,325,336,337,342,380,408,445,514,600,580,588,652,759,835,936,794
Zimbabwe,388,434,518,616,716,760,728,712,689,791,981,"1,136","1,164","1,017",799,852,905,946,"1,060","1,086","1,120","1,018",820,779,804,820,981,994,687,645,604,595,560,525,499,479,465,453,407,594,674,769,851,905,931,890
