Per Capita GDP at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunei Darussalam,"1,734","1,828","2,398","3,674","8,734","9,125","10,684","12,520","13,521","18,853","32,066","27,539","26,118","22,893","21,904","19,841","11,762","13,136","12,150","13,247","15,181","15,513","17,048","16,264","15,757","17,780","18,741","18,590","14,162","15,739","20,117","18,412","18,856","20,786","24,523","29,184","34,524","36,241","41,884","30,723","34,851","46,377","46,974","43,971","41,022","30,553"
Bulgaria,"1,059","1,041","1,211","1,435","1,553","1,364","1,441","1,469","1,586","1,064","1,223","1,399","1,516","1,626","1,737","1,840","1,957","2,131","2,454","2,477","2,350",961,"1,095","1,395","1,265","1,727","1,222","1,365","1,799","1,674","1,643","1,782","2,079","2,700","3,370","3,882","4,499","5,915","7,276","6,941","6,742","7,743","7,335","7,670","7,876","6,847"
Burkina Faso,80,80,101,114,124,145,136,161,203,267,283,256,230,205,178,203,259,294,316,308,356,350,365,338,195,238,252,232,258,267,227,237,261,332,371,407,420,475,569,552,574,666,673,699,716,611
Burundi,71,72,69,85,95,113,122,142,156,197,230,234,239,246,217,245,249,227,206,207,204,202,184,162,174,160,137,152,137,122,105,95,88,80,89,141,155,159,183,194,215,228,230,234,259,245
Cabo Verde,270,301,340,420,422,491,457,426,485,514,566,546,540,521,487,499,680,829,918,912,"1,027","1,045","1,137","1,116","1,228","1,434","1,437","1,369","1,424","1,580","1,398","1,431","1,551","2,001","2,241","2,331","2,634","3,146","3,698","3,517","3,394","3,766","3,498","3,649","3,661","3,080"
Cambodia,110,107,103,87,88,95,102,95,106,102,107,116,120,125,131,137,140,170,199,200,188,241,248,243,258,309,318,304,269,294,301,321,338,362,407,472,538,629,743,735,783,879,948,"1,013","1,090","1,159"
Cameroon,171,187,234,310,322,412,436,496,635,820,993,905,881,892,852,813,964,"1,019",967,864,981,916,907,931,525,640,667,620,650,646,583,589,648,791,893,915,965,"1,071","1,192","1,165","1,147","1,259","1,222","1,331","1,407","1,217"
Canada,"4,100","4,556","5,107","5,840","7,028","7,512","8,813","8,920","9,112","10,020","11,170","12,363","12,531","13,475","13,911","14,112","14,416","16,250","18,847","20,701","21,471","21,786","20,892","20,124","19,938","20,615","21,242","21,854","20,960","22,224","24,177","23,761","24,224","28,244","32,056","36,253","40,337","44,417","46,431","40,631","47,279","51,845","52,320","52,302","50,379","43,206"
Cayman Islands,"2,578","3,080","3,872","4,749","5,203","5,830","6,537","7,337","8,261","9,355","10,666","12,246","14,136","19,095","20,739","21,542","22,566","25,033","28,950","31,421","37,182","37,040","37,559","38,588","39,938","40,930","41,941","43,033","53,251","54,735","54,633","53,935","54,459","54,893","56,274","62,558","64,105","68,299","67,033","61,474","58,857","59,190","59,283","59,586","61,681","62,132"
Central African Republic,151,158,177,204,208,274,319,351,413,462,511,444,405,346,322,344,436,457,471,450,513,479,478,422,274,350,309,280,283,286,257,257,269,304,333,348,373,418,475,465,458,500,484,332,365,333
