Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3105.0.65.001 Australian Historical Population Statistics, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 18 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.2 Population(a)(b)(c) by sex, states and territories, 30 June, 1901 onwards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia(e),1803000,1831787,1857958,1884386,1915400,1947149,1981333,2017244,2057551,2101902,2155770,2224792,2302836,2365009,2420579,2461212,2502597,2544376,2582236,2632602,2683229,2738392,2794588,2849695,2908105,2964838,3023690,3080842,3128604,3167356,3205279,3233716,3262728,3288979,3315946,3344606,3375652,3408354,3445593,3484909,3525409,3567011,3600519,3643374,3688515,3725634,3781988,3843532,3935508,4055816,4168033,4263869,4352721,4440412,4543409,4649521,4757864,4865755,4976244,5082735,5215082,5321424,5428089,5538387,5649314,5757910,5859757,5965400,6092823,6215372,6499329,6618511,6721690,6832903,6923814,7001049,7087532,7177962,7261967,7357296,7474993,7603333,7707126,7801179,7905584,8018163,8145619,8283219,8426827,8553859,8668627,8770379,8852828,8941791,9044452,9159443,9266860,9364441,9472155,9585337,9712875,9819727,9933140,10036771,10157211,10291542,10473986,10677154,10890856,11063919,11221790
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,1361736,1389085,1413768,1438980,1470298,1504266,1542842,1570712,1596704,1634184,1660378,1742889,1817863,1872027,1889079,1889883,1903588,1941128,1996359,2067689,2103388,2154366,2200370,2242454,2292816,2343668,2401941,2458852,2502629,2529526,2554479,2578214,2600847,2621776,2645052,2665942,2693318,2720307,2748393,2776951,2798280,2828697,2857703,2886574,2918378,2944700,2984838,3015763,3092621,3193372,3278032,3339455,3383792,3423529,3490749,3554257,3624969,3691954,3759834,3832453,3918501,3986948,4049998,4107915,4175438,4237901,4295239,4359325,4441188,4522330,4725503,4795106,4841898,4894053,4932016,4959588,5001888,5053790,5111130,5171527,5234889,5303580,5352959,5402729,5464512,5531526,5616736,5707309,5776283,5834021,5898731,5957822,5995055,6044819,6105560,6176461,6246267,6305799,6375103,6446558,6530349,6580807,6620715,6650735,6693206,6742690,6834156,6943461,7053755,7144292,7218529
Vic.,1203000,1206287,1204318,1201409,1204751,1212437,1226016,1237772,1259463,1278672,1319428,1355900,1393156,1426081,1431835,1412891,1408565,1423074,1473903,1511863,1535739,1570434,1607685,1639821,1670957,1694565,1726790,1750111,1768577,1784669,1799529,1807828,1820261,1828993,1836791,1844931,1852998,1864627,1878480,1900128,1933504,1962643,1974130,1990011,2007029,2025134,2054701,2092320,2142986,2208078,2276575,2344491,2395254,2452341,2517229,2593468,2656257,2718482,2785905,2857389,2930366,2983058,3040841,3105519,3164369,3220217,3274340,3324180,3385043,3444936,3601352,3661254,3707653,3755726,3787441,3810426,3837364,3863759,3886406,3914303,3946917,3992870,4035702,4076492,4120068,4160856,4210111,4262569,4320164,4378592,4420373,4450217,4462766,4472989,4497660,4534984,4569297,4606970,4652462,4704065,4763615,4817774,4873809,4927149,4989246,5061266,5153522,5256375,5371934,5461101,5537817
Qld,502279,511088,514564,522588,529454,537292,543815,556041,572184,594734,617549,635599,659252,683253,696222,685616,682584,701472,723172,748660,766426,779345,797966,816408,840621,861203,873161,887402,899788,912112,926831,937732,947534,957948,968401,981556,993063,1004422,1018007,1027961,1038256,1039757,1048417,1061896,1077124,1089557,1106415,1131200,1159124,1196185,1227701,1259478,1291410,1318259,1350017,1381591,1413085,1439199,1468237,1495927,1527514,1550982,1577867,1610698,1644534,1674324,1699982,1728996,1763087,1792743,1851485,1898478,1951951,2008340,2051362,2092375,2129839,2172047,2214771,2265935,2345208,2424586,2482282,2523859,2571218,2624595,2675107,2739907,2827637,2899283,2960951,3023198,3096185,3166566,3237380,3303192,3355417,3404484,3453936,3509458,3571469,3653123,3743121,3829970,3918494,4007992,4111018,4219505,4328771,4404744,4476778
SA,356074,354641,354427,356475,359419,362871,367004,378086,387791,395443,410753,422871,437416,443600,444721,440654,439703,450636,468486,486454,497128,503731,514611,525819,539056,553341,565081,571291,572368,573096,575798,578060,580949,583396,585066,587676,589196,592959,596563,599237,600290,608289,613039,619443,627306,634829,646073,661153,679305,709547,732430,755053,775781,797094,819567,848557,873166,896803,920898,945320,971487,987496,1010741,1038020,1067571,1094984,1109780,1121811,1139333,1157987,1200114,1214628,1228475,1241538,1265264,1274070,1286119,1296205,1301109,1308397,1318769,1331108,1345775,1360048,1371197,1382550,1392764,1404909,1419029,1432056,1446299,1455442,1458632,1463089,1465340,1469079,1475658,1483270,1490934,1497503,1503461,1511567,1520399,1528189,1538804,1552529,1570619,1588665,1608902,1627322,1639614
WA,188566,205693,220226,235365,247673,255173,255497,258291,263515,271162,287757,301966,313334,323206,321440,313048,306297,308232,319636,330172,333932,341462,350627,363998,372817,381110,392114,407905,421063,429112,432183,435111,438852,442770,447178,452494,457257,463989,470044,473254,474791,476983,475281,481530,487692,492510,502480,515074,532191,557096,580343,599858,620547,639771,657115,674529,687605,699565,712070,722080,746750,765962,788344,808443,825525,848100,879179,915042,954846,991354,1053834,1082017,1101041,1127598,1154948,1178342,1204366,1227851,1246611,1269068,1300056,1338899,1369050,1391237,1418564,1459019,1496248,1535167,1578434,1613049,1636067,1658544,1678722,1704649,1736066,1768206,1798341,1826440,1853936,1879093,1906274,1928512,1952741,1979542,2011207,2050581,2106139,2171700,2240250,2290845,2353409
Tas.,171703,173897,179862,182171,183351,183068,183205,186135,189244,189807,188570,189105,192903,194443,195319,193600,192590,197242,204425,209333,212008,213908,214878,214787,213991,211970,211239,213997,216504,219983,224002,226387,227599,228081,228988,230104,233203,234827,237419,240191,239677,240913,242561,245616,248633,251998,257078,261206,267062,275902,286193,296299,304080,308752,314092,318470,326130,333066,339376,343910,350340,355668,360727,364311,367905,371436,375244,379649,384893,387720,398073,400308,403087,406151,410088,412314,415032,417642,420756,423590,427224,429845,432805,437760,442828,446473,449226,451148,455258,462188,466802,469979,471987,473499,474515,475605,474908,473430,473030,473123,473668,474152,478534,483178,486202,489302,493262,498568,504353,508847,511483
NT,4765,4574,4354,4220,4128,3976,3822,3655,3538,3403,3333,3335,3703,3600,4367,4751,4932,5146,4766,4069,3932,3705,3726,3738,3915,3953,4477,4499,4460,5099,5020,4911,4850,4927,5143,5361,5520,5848,6281,8015,10078,9065,10386,10436,10518,10562,10868,12254,13391,14692,15609,15464,15853,16469,18210,19556,21061,22097,24089,25573,44481,46004,48461,51463,53858,56504,61836,67537,72962,78811,85735,92081,97127,102924,92869,98228,103938,109980,114149,118245,122616,130314,135916,142154,148536,154421,158205,159026,161179,163728,165493,168546,171708,174908,179602,184516,189755,192905,196012,199149,201743,202251,201725,202663,205905,209057,213748,219874,226027,229778,231292
