GDP/breakdown at current prices in National currency (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Currency,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,Lek,Gross fixed capital formation (including Acquisitions less disposals of valuables),"3,835,283,943","3,946,218,621","4,057,625,610","4,175,610,811","4,298,647,894","4,411,069,274","4,550,550,554","4,689,921,998","4,766,094,139","4,995,827,523","5,134,000,000","4,997,000,000","5,743,000,000","5,853,000,000","6,099,000,000","5,594,000,000","5,456,000,000","5,502,000,000","5,418,000,000","5,854,000,000","5,810,000,000","1,161,993,339","2,544,580,569","15,968,865,887","31,858,747,939","46,578,697,807","68,257,765,249","66,078,204,151","80,134,950,037","100,970,754,838","154,609,714,619","208,445,293,927","219,847,648,767","261,670,626,426","260,233,837,755","280,703,498,680","320,317,179,997","348,425,342,749","366,881,907,033","374,168,553,935","352,412,127,217","381,944,271,533","353,043,996,890","350,084,924,618","342,901,097,609","376,549,545,048"
Albania,Lek,Changes in inventories,"288,966,160","295,374,416","304,094,214","318,342,412","315,386,940","331,827,554","364,581,341","303,858,841","385,367,281","472,828,773","99,000,000","658,000,000","765,000,000","110,000,000","-864,000,000","78,000,000",0,"-685,000,000","-447,000,000","72,000,000","-1,702,000,000",,,,,,"-20,242,658,834","-8,481,605,722","5,681,013,111","8,873,264,146","8,330,189,513","11,230,649,217","11,844,798,176","14,098,368,229","14,020,455,049","15,123,760,995","17,258,129,147","18,772,547,771","19,766,955,158","21,150,642,019","23,307,779,726","26,628,314,457","24,522,026,536","32,913,755,201","55,135,520,132","33,392,211,812"
Albania,Lek,Exports of goods and services,"2,542,506,255","2,615,685,812","2,692,402,508","2,765,928,100","2,848,106,352","2,936,312,805","2,998,735,756","3,109,561,098","3,217,581,431","3,192,976,993","3,465,687,560","3,564,222,510","3,092,826,347","2,936,511,800","2,773,930,986","2,641,669,497","2,526,590,307","2,574,730,710","2,688,476,006","3,233,855,230","2,413,077,499","1,143,914,563","5,622,767,165","18,657,591,828","20,203,941,593","27,670,794,686","38,759,425,270","33,719,166,469","44,349,443,844","74,543,924,310","93,397,000,916","107,460,029,218","121,971,690,449","141,205,766,672","164,998,553,197","185,858,954,645","219,842,669,973","272,001,703,672","319,774,470,439","338,615,109,415","402,140,911,865","442,390,182,390","444,514,358,028","478,758,962,347","393,657,424,563","493,889,335,302"
Albania,Lek,Imports of goods and services,"2,522,979,098","2,595,159,423","2,669,958,236","2,746,964,401","2,824,328,432","2,907,540,208","2,991,566,974","3,069,738,773","3,172,170,734","3,258,502,505","3,316,687,560","3,500,222,510","3,531,826,347","3,167,511,800","2,891,930,986","2,906,669,497","2,556,590,307","2,593,730,710","3,030,476,006","3,522,855,230","3,652,077,499","4,368,789,846","43,312,862,586","75,359,191,943","69,324,503,419","76,548,868,741","110,909,041,728","118,338,720,366","141,706,339,896","151,875,919,991","198,991,297,619","227,456,174,653","276,019,787,109","312,861,863,430","333,191,378,031","386,707,971,323","427,945,075,524","530,565,357,713","609,902,635,967","614,965,318,334","657,315,882,181","738,093,475,956","692,886,687,437","722,284,152,492","658,512,016,934","739,165,550,902"
Albania,Lek,Gross Domestic Product (GDP),"11,327,885,280","11,652,924,299","11,987,632,242","12,332,717,304","12,685,079,084","13,050,551,845","13,428,728,389","13,803,731,983","14,211,379,629","14,630,301,363","14,992,859,359","15,508,323,363","15,962,974,197","16,137,691,397","15,930,154,391","16,270,901,195","16,779,608,180","16,647,363,669","16,410,868,012","18,025,795,498","16,228,428,506","15,833,649,034","48,934,315,111","120,976,259,938","177,981,836,522","221,803,323,120","334,359,125,203","331,324,244,713","384,848,409,222","443,593,644,360","501,198,993,038","563,448,812,305","610,494,274,849","677,737,524,616","737,655,548,337","804,163,210,239","872,735,098,858","965,527,760,136","1,080,675,931,200","1,143,936,457,575","1,239,644,584,736","1,300,624,080,293","1,332,810,989,283","1,350,554,787,082","1,400,549,428,673","1,453,719,969,255"
Albania,Lek,"Agriculture, hunting, forestry, fishing (ISIC A-B)","4,323,967,009","4,448,794,973","4,576,753,512","4,705,737,959","4,845,319,055","4,983,138,102","5,114,904,206","5,289,364,702","5,420,564,221","5,531,279,927","5,848,064,904","5,833,390,975","5,874,500,492","6,388,088,131","6,121,381,176","6,535,611,191","6,622,982,903","6,416,203,603","6,001,188,925","6,758,968,558","6,761,208,629","6,966,184,637","27,487,782,670","68,475,985,171","100,743,208,427","125,420,320,074","121,742,509,890","104,510,744,462","110,780,833,919","114,974,466,172","122,870,741,953","127,994,137,704","134,462,427,812","148,954,572,382","151,495,688,334","151,546,634,259","154,547,355,039","165,622,987,642","181,954,358,588","192,117,287,137","222,588,792,359","237,061,701,401","250,125,957,960","265,147,495,207","280,035,783,395","282,961,722,571"
Albania,Lek,"Mining, Manufacturing, Utilities (ISIC C-E)","3,973,327,576","4,088,128,469","4,205,046,384","4,324,623,957","4,452,817,884","4,576,247,735","4,704,145,465","4,860,623,665","4,967,417,196","5,109,661,312","5,361,171,973","5,300,440,269","5,561,401,432","5,545,881,092","5,574,769,972","5,616,379,987","5,848,915,375","6,101,035,568","6,099,138,028","6,161,412,105","6,528,250,332","5,492,417,905","8,925,701,188","18,129,155,831","24,133,224,832","28,133,501,068","34,285,736,786","30,923,839,519","31,502,930,933","35,273,807,307","40,402,941,862","43,337,155,302","41,767,839,783","55,956,331,058","66,378,022,533","78,340,756,931","84,490,491,384","90,626,289,384","100,951,793,320","108,162,321,386","148,887,514,490","153,071,763,661","153,667,724,399","170,134,432,065","176,794,212,665","178,081,538,494"
Albania,Lek,Manufacturing (ISIC D),"1,973,238,930","2,030,251,475","2,088,315,648","2,147,699,960","2,211,363,927","2,272,662,974","2,336,176,887","2,413,889,411","2,466,929,933","2,537,555,207","2,662,479,452","2,632,331,695","2,761,844,498","2,754,269,973","2,768,611,640","2,788,884,383","2,905,191,420","3,029,954,242","3,027,338,175","3,063,179,534","3,240,706,249","2,721,724,079","4,464,178,640","8,947,593,999","11,895,995,213","14,459,746,784","16,242,607,614","15,186,054,214","18,179,879,203","20,105,561,668","21,641,149,209","23,095,560,884","24,826,127,080","27,951,187,994","30,816,118,118","35,591,187,695","42,807,457,705","51,142,473,804","54,009,604,274","59,456,957,787","67,586,936,862","73,639,868,733","61,501,604,968","65,693,193,558","66,736,036,885","69,020,595,789"
Albania,Lek,Construction (ISIC F),"1,196,748,196","1,231,332,392","1,266,561,311","1,302,528,936","1,341,197,624","1,378,411,645","1,416,675,919","1,464,218,989","1,496,355,838","1,537,948,959","1,616,362,590","1,596,562,499","1,669,804,007","1,680,534,346","1,674,497,464","1,670,109,949","1,821,473,093","1,784,403,793","1,759,157,993","2,190,254,032","1,558,868,234","1,518,287,284","5,411,259,840","15,874,148,339","24,797,759,407","33,053,883,808","23,804,688,362","29,077,586,572","27,559,335,212","38,080,831,618","56,807,844,328","79,132,155,481","99,295,383,424","107,077,383,190","115,568,576,305","123,357,078,389","136,382,937,687","154,041,339,537","170,957,320,518","171,114,583,174","160,248,691,068","165,378,348,727","151,792,735,148","140,556,095,005","130,078,910,406","150,624,327,449"
Albania,Lek,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1,061,490,182","1,091,272,849","1,122,810,411","1,156,880,172","1,185,726,322","1,222,997,599","1,265,401,368","1,276,556,014","1,341,938,228","1,401,387,943","1,307,728,953","1,555,034,024","1,594,152,729","1,486,446,833","1,486,967,602","1,465,772,547","1,490,749,352","1,425,084,577","1,485,334,793","1,681,153,323","1,052,174,621","1,210,971,185","4,208,955,977","11,083,040,967","16,757,258,124","20,703,162,312","65,343,098,738","65,396,623,144","74,959,575,927","94,040,805,901","94,064,654,170","95,674,493,849","96,195,904,716","97,992,324,961","103,041,631,440","111,000,440,124","116,063,864,689","128,936,968,582","142,655,067,347","149,735,955,873","157,482,340,470","163,371,589,678","168,102,526,288","170,163,699,293","178,656,385,313","183,984,424,801"
